start_time,stop_time
2020-06-01 00:37:21.3000,2020-06-01 00:47:55.1180
2020-06-01 00:37:22.5790,2020-06-01 04:38:05.9100
2020-06-01 00:37:33.3540,2020-06-01 00:39:40.6970
2020-06-01 00:37:41.0730,2020-06-01 00:46:14.3050
2020-06-01 00:37:41.1340,2020-06-01 00:44:24.1180
2020-06-01 00:37:41.9070,2020-06-01 01:29:11.1240
2020-06-01 00:37:59.1070,2020-06-01 01:04:45.0550
2020-06-01 00:38:00.1030,2020-06-01 01:02:10.1210
2020-06-01 00:38:10.3520,2020-06-01 01:06:46.2550
2020-06-01 00:38:16.2090,2020-06-01 07:47:35.3810
2020-06-01 00:38:20.5320,2020-06-01 01:24:16.2150
2020-06-01 00:38:30.2100,2020-06-01 01:23:59.6300
2020-06-01 00:38:32.1960,2020-06-01 00:48:23.6860
2020-06-01 00:38:34.5530,2020-06-21 13:55:41.8970
2020-06-01 00:38:41.7330,2020-06-01 00:41:38.6680
2020-06-01 00:38:53.2710,2020-06-01 00:55:15.6730
2020-06-01 00:38:53.4230,2020-06-01 00:46:44.7380
2020-06-01 00:39:05.1880,2020-06-01 00:42:23.2310
2020-06-01 00:39:11.2950,2020-06-01 00:51:28.0340
2020-06-01 00:39:24.1560,2020-06-01 00:42:27.3540
2020-06-01 00:39:24.3410,2020-06-01 00:47:04.5160
2020-06-01 00:39:48.1970,2020-06-01 00:41:02.0590
2020-06-01 00:39:55.0730,2020-06-01 00:49:12.8760
2020-06-01 00:40:00.3870,2020-06-01 00:56:52.7420
2020-06-01 00:40:02.3650,2020-06-01 00:58:21.8550
2020-06-01 00:40:29.4970,2020-06-01 00:58:22.7580
2020-06-01 00:40:33.9380,2020-06-01 00:48:34.2830
2020-06-01 00:40:36.0430,2020-06-01 00:51:48.3320
2020-06-01 00:40:44.1910,2020-06-01 01:21:55.6230
2020-06-01 00:40:46.1940,2020-06-01 00:57:49.2540
2020-06-01 00:40:48.0630,2020-06-01 00:50:09.6760
2020-06-01 00:40:56.5360,2020-06-01 01:06:03.6450
2020-06-01 00:41:00.9160,2020-06-01 00:57:05.7540
2020-06-01 00:41:03.3960,2020-06-01 00:48:51.6910
2020-06-01 00:41:05.1380,2020-06-01 00:47:14.3160
